Timestamp, Moisture (V), Moisture (Raw ADC)
2020-05-20T00:00:00Z,1.83, 36480.00
2020-05-20T00:05:00Z,1.82, 36096.00
2020-05-20T00:10:00Z,1.82, 36224.00
2020-05-20T00:15:00Z,1.83, 36160.00
2020-05-20T00:20:00Z,1.85, 36224.00
2020-05-20T00:25:00Z,1.82, 36096.00
2020-05-20T00:30:00Z,1.82, 35968.00
2020-05-20T00:35:00Z,1.82, 36224.00
2020-05-20T00:40:00Z,1.82, 36352.00
2020-05-20T00:45:00Z,1.84, 35968.00
2020-05-20T00:50:00Z,1.83, 36288.00
2020-05-20T00:55:00Z,1.82, 36288.00
2020-05-20T01:00:00Z,1.82, 35968.00
2020-05-20T01:05:00Z,1.82, 36096.00
2020-05-20T01:10:00Z,1.83, 35968.00
2020-05-20T01:15:00Z,1.83, 36096.00
2020-05-20T01:20:00Z,1.82, 36096.00
2020-05-20T01:25:00Z,1.81, 36352.00
2020-05-20T01:30:00Z,1.83, 36096.00
2020-05-20T01:35:00Z,1.82, 35840.00
2020-05-20T01:40:00Z,1.81, 36032.00
2020-05-20T01:45:00Z,1.82, 36224.00
2020-05-20T01:50:00Z,1.82, 36032.00
2020-05-20T01:55:00Z,1.84, 36160.00
2020-05-20T02:00:00Z,1.82, 36672.00
2020-05-20T02:05:00Z,1.83, 36160.00
2020-05-20T02:10:00Z,1.82, 36096.00
2020-05-20T02:15:00Z,1.82, 36096.00
2020-05-20T02:20:00Z,1.82, 35968.00
2020-05-20T02:25:00Z,1.82, 35712.00
2020-05-20T02:30:00Z,1.80, 35840.00
2020-05-20T02:35:00Z,1.82, 35840.00
2020-05-20T02:40:00Z,1.83, 36032.00
2020-05-20T02:45:00Z,1.82, 36096.00
2020-05-20T02:50:00Z,1.80, 36096.00
2020-05-20T02:55:00Z,1.84, 36224.00
2020-05-20T03:00:00Z,1.81, 36224.00
2020-05-20T03:05:00Z,1.83, 35840.00
2020-05-20T03:10:00Z,1.82, 36224.00
2020-05-20T03:15:00Z,1.81, 36160.00
2020-05-20T03:20:00Z,1.83, 36352.00
2020-05-20T03:25:00Z,1.83, 36352.00
2020-05-20T03:30:00Z,1.83, 36032.00
2020-05-20T03:35:00Z,1.82, 36288.00
2020-05-20T03:40:00Z,1.82, 36096.00
2020-05-20T03:45:00Z,1.82, 36224.00
2020-05-20T03:50:00Z,1.83, 35968.00
2020-05-20T03:55:00Z,1.82, 36096.00
2020-05-20T04:00:00Z,1.84, 36096.00
2020-05-20T04:05:00Z,1.83, 36288.00
2020-05-20T04:10:00Z,1.81, 36352.00
2020-05-20T04:15:00Z,1.82, 36032.00
